Umsteigebauwerke;;;;;;;;;
;;;;Koordinaten GK4;Koordinaten GK4;Koordinaten;Koordinaten;Untergeordnete;
Typ;Nr.;Name;;X;Y;latitude;longitude;Exportnummer;Nr.
;;;;;;;;;
Bauwerk;3;S+U Alexanderplatz Bhf;;4596000;5821830;52.521152;13.412832;;100003
Zwischenpunkt;140;Zwischengeschoss U5/Verteiler (Treppe 2 zum Verteiler);-3;4596000;5821830;52.521152;13.412832;9701140;
Zwischenpunkt;58;Untergeschoss Empfangshalle (Rolltreppe zur Empfangshalle Nähe Dircksenstraße);-1;4595875;5821884;52.521659;13.411006;9701058;
Zwischenpunkt;62;Bahnsteig U2 (Aufzug  Zwischengeschoss U5/U2,Bahnsteig U5 Hönow und Zugang);-1;4596068;5821877;52.521562;13.413847;9701062;
Zwischenpunkt;70;Zwischengeschoss U5/U2 (Treppe 1 zum Bahnsteig U5 Hönow);-3;4596000;5821830;52.521152;13.412832;9701070;
Zwischenpunkt;60;Bahnsteig U2 (Treppe1 zum Zwischengeschoss U5/U2);-1;4596069;5821877;52.521562;13.413861;9701060;
Zwischenpunkt;65;Zwischengeschoss U5/U2 (Aufzug zum Bahnsteig U2 und Bahnsteig U5 S+U Alexanderplatz Bhf.);-3;4596000;5821830;52.521152;13.412832;9701065;
Zwischenpunkt;66;Zwischengeschoss U5/U2 (Treppe 2 zum Bahnsteig U2);-3;4596000;5821831;52.521161;13.412832;9701066;
Zwischenpunkt;68;Zwischengeschoss U5/U2 (Treppe zur Ladenstraße);-3;4596002;5821831;52.521161;13.412861;9701068;
Zwischenpunkt;78;Zwischengeschoss Unterführung (Rolltreppe zum Bahnsteig U5 S+U Alexanderplatz Bhf.);-1;4596248;5821943;52.522124;13.416517;9701078;
Zwischenpunkt;79;Zwischengeschoss Unterführung (Treppe zum Bahnsteig U5 Hönow);-1;4596257;5821954;52.522221;13.416653;9701079;
Zwischenpunkt;105;Bahnsteig U5 S+U Alexanderplatz Bhf. (Aufzug zum Bahnsteig U8,Verteiler und Zugang);-5;4596082;5821896;52.521731;13.414058;9701105
Zwischenpunkt;110;Bahnsteig U5 S+U Alexanderplatz Bhf. (Aufzug zum Bahnsteig U2 und Zwischengeschoss U5/U2);-5;4596082;5821895;52.521722;13.414058;9701110
Zwischenpunkt;111;Bahnsteig U5 S+U Alexanderplatz Bhf. (Treppe zum Zwischengeschoss Unterführung);-5;4596082;5821896;52.521731;13.414058;9701111
Zwischenpunkt;119;Bahnsteig U5 Hönow (Aufzug zum Bahnsteig U2 und Zwischengeschoss U5/U2 und Zugang);-5;4596086;5821891;52.521685;13.414116;9701119
Zwischenpunkt;124;Ladenstr. (Treppe Grunerstraße/Weltzeituhr);-2;4596026;5821849;52.521318;13.413220;9701124
Zwischenpunkt;123;Ladenstr. (Treppe zum Zwischengeschoss U5/Verteiler);-2;4596026;5821848;52.521309;13.413220;9701123
Zwischenpunkt;121;Bahnsteig U5 Hönow (Rolltreppe zum Zwischengeschoss Unterführung);-5;4596086;5821891;52.521685;13.414116;9701121
Zwischenpunkt;126;Verteiler (Treppe 1 zum Bahnsteig U8);-1;4595981;5821779;52.520697;13.412537;9701126
Zwischenpunkt;127;Verteiler (Treppe 2 zum Bahnsteig U8);-1;4595982;5821778;52.520688;13.412552;9701127
Zwischenpunkt;125;Ladenstr. (Treppe zum Zwischengeschoss U5/U2);-2;4596025;5821849;52.521318;13.413205;9701125
Zwischenpunkt;129;Verteiler (Aufzug zum Bahnsteig U5 und Bahnsteig U8);-1;4595982;5821779;52.520697;13.412552;9701129
Zwischenpunkt;133;Verteiler (Rolltreppe zum Bahnsteig U5 Hönow);-1;4595982;5821779;52.520697;13.412552;9701133
Zugang;17;Zugang (Empfangshalle) Gontard-/Panoramastraße/Fernsehturm;0;4595828;5821903;52.521838;13.410319;9701017
Zugang;21;Zugang (Aufzug) U5/U8;0;4595984;5821832;52.521173;13.412597;9701021
Zugang;20;Zugang (Empfangshalle) Rathausstraße;0;4595950;5821810;52.520981;13.412090;9701020
